NanogKO_0h_1 NanogKO_0h_2 NanogKO_0h_3 NanogKO_12h_1 NanogKO_12h_2 NanogKO_12h_3 NanogKO_24h_1 NanogKO_24h_2 NanogKO_24h_3 WT_0h_1 WT_0h_2 WT_12h_1 WT_12h_2 WT_12h_3 WT_24h_1 WT_24h_2 WT_24h_3
Xkr4 5 3 5 3 5 6 10 7 2 6 15 20 4 8 4 8 4
Rp1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0
Sox17 221 238 263 243 243 159 322 258 182 43 132 68 32 22 43 37 27
Mrpl15 2541 2424 2759 2447 2311 1517 2891 1881 1385 1884 2782 4229 1559 1199 3000 3478 3857
Lypla1 1730 1597 1960 2176 1816 1153 2442 1383 1085 1667 2678 4837 1605 1260 2777 3740 3949
Tcea1 3953 3783 4527 5692 5137 3050 5730 3729 2399 3730 5565 10145 3409 2572 5583 7910 8833
Rgs20 26 31 40 39 42 25 26 22 10 28 40 46 27 16 37 45 38
Atp6v1h 2293 2139 2521 2358 2112 1334 2671 1789 1279 993 1353 2081 692 569 1335 1685 1909
Oprk1 1 1 0 3 1 0 6 1 1 4 5 8 7 1 4 7 12
Npbwr1 0 0 1 0 0 1 0 0 0 0 3 3 0 1 0 0 1
Rb1cc1 606 692 788 810 770 436 820 539 312 406 703 1422 418 389 656 936 1029
Fam150a 1 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0
St18 0 0 0 0 0 1 2 0 0 0 0 0 2 1 2 5 5
Pcmtd1 1183 1096 1617 1458 1247 790 1233 856 570 619 1122 2359 761 644 1245 1970 2115
Sntg1 0 0 2 3 2 0 1 0 0 1 2 7 1 2 0 4 3
Rrs1 1561 1537 1832 1839 1833 1265 2119 1356 1037 1383 2743 3455 1296 876 1956 2173 2706
Adhfe1 42 51 59 36 17 18 38 24 18 14 18 21 5 2 15 13 22
2610203C22Rik 1 1 3 0 1 0 2 1 0 0 0 2 0 0 0 1 2
3110035E14Rik 0 0 0 2 2 1 1 1 0 0 0 2 2 0 1 2 0
Mybl1 265 318 384 502 398 262 388 248 172 212 306 721 230 184 289 518 542
Vcpip1 672 604 844 776 667 442 830 465 325 487 816 1421 442 379 733 1004 1072
1700034P13Rik 4 6 11 2 2 1 7 2 2 10 8 7 0 3 6 3 3
Sgk3 212 199 287 347 335 190 421 232 193 54 103 240 64 58 144 183 215
Mcmdc2 7 2 9 3 5 5 6 6 1 5 6 18 3 7 9 9 7
Snhg6 388 414 458 267 302 185 334 225 169 317 466 596 173 142 403 456 452
Snord87 13 13 12 15 17 3 11 9 3 14 16 23 7 6 15 16 12
Tcf24 17 20 32 26 23 11 39 18 19 20 45 45 10 10 25 35 23
Ppp1r42 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0
Cops5 2398 2492 2752 2612 2388 1469 2770 1759 1310 1835 2806 4106 1433 1054 2192 2838 3340
Cspp1 412 406 555 521 446 256 554 358 233 393 598 996 354 266 545 675 828
Arfgef1 1266 1308 1585 1276 1263 740 1395 842 521 1133 1748 2403 772 607 1080 1518 1686
Cpa6 4 5 1 1 2 3 0 1 1 2 3 3 3 0 1 1 1
Mir467e 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Prex2 1015 982 1195 1056 907 586 905 607 388 704 761 1433 430 392 710 1057 1183
A830018L16Rik 50 28 52 55 51 26 31 24 17 33 31 79 24 17 47 67 82
Mir6341 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
