"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Prdm14",191.951804060288,-2.29501036146634,0.209668970715656,-10.9458750793351,6.95429136016129e-28,2.04590391911833e-26
"Pi15",24.9967834392227,2.91693312714902,0.45383138717135,6.42734991365349,1.29847693277137e-10,1.05750210264074e-09
"Cfc1",13.3301407677641,2.99160249913029,0.79491491861999,3.76342477547642,0.000167602158488673,0.000584031092676039
"Il1rl1",96.055982426093,-3.90467329075733,0.464578259258243,-8.40476973027457,4.28701911985198e-17,6.20284656776619e-16
"Col3a1",2339.29120329881,-2.15303354638175,0.138226104185955,-15.5761718024352,1.05698157300055e-54,8.69232148475477e-53
"Sdpr",7.90515354540461,-2.55857909969033,0.649041016121559,-3.94209154142446,8.07741341204607e-05,0.000298405237230227
"Cdk15",2.06216017158131,-3.44503597244067,1.47856887377176,-2.32998004594304,0.0198072057740389,0.0427200746490686
"Crygd",14.6675591632564,-2.11630268847514,0.665959345140787,-3.17782564944372,0.00148383950919802,0.00423978124792021
"Unc80",4.80857020272043,2.7671766714927,0.913984913467225,3.02759556609676,0.00246507755788529,0.00666845720639072
"Abca12",2.99388128017589,3.42672563457547,1.25275639440843,2.73534874766584,0.00623142167499388,0.0153386839253191
"Cxcr2",5.22821128206292,2.56758337912266,0.812590626279725,3.15975018180778,0.0015790446762247,0.00448932126070572
"Gpbar1",1.5733506467505,4.68385863079009,1.57749600483831,2.96917305427356,0.00298602380825499,0.00792405543775826
"Ihh",29.889137915621,2.39173664642287,0.318558071418771,7.50800830683941,6.00336968614195e-14,6.69662541220265e-13
"Inha",11.6798486056047,-2.35942780360201,0.729532027366226,-3.23416617104539,0.00121998450638694,0.00354662052900815
"2810459M11Rik",36.359090195654,2.58459983536461,0.30842265450598,8.38005833100854,5.2901479261294e-17,7.59830263865914e-16
"Htr2b",8.15813839001624,2.06914049230481,0.859549007877661,2.40723969586537,0.0160736162686953,0.0355914350966564
"Sag",3.3103677645206,3.99640117281083,1.40034041955915,2.85387832629224,0.00431890691832099,0.0110462307569555
"2410088K16Rik",53.2592219447791,2.03028984348526,0.264701038647026,7.67012420450912,1.7182987932068e-14,2.00668698564659e-13
"2310007B03Rik",8.16101964621338,-3.82304878296144,0.95563175324064,-4.00054599483233,6.31965019187267e-05,0.000237335885816696
"Sned1",81.2003778425016,2.24901301715802,0.219807256884321,10.2317505301548,1.42912396959414e-24,3.46616473338737e-23
"Ano7",8.14544654567453,2.00586418850295,0.620536817436476,3.23246603930683,0.00122726722543657,0.00356486147740168
"Cdh20",3.73047485034269,3.95520131838423,1.50886485517605,2.6213091946679,0.00875927792830491,0.0207966688667059
"Serpinb2",15.1989860629122,-6.110412606432,1.2419184331532,-4.9201400376334,8.64823135699029e-07,4.33293790373889e-06
"2900060B14Rik",7.14757113687174,4.0134912295121,0.918540042803718,4.36942435003864,1.24574485106583e-05,5.26560236951828e-05
"Tmem163",7.99925478722304,2.4256692487161,0.767182873962456,3.16178753598559,0.00156803925944671,0.0044601837429661
"Il10",9.93750639311852,7.60457452149764,1.27481984687761,5.96521503812746,2.44312074205561e-09,1.73133538438017e-08
"Prelp",22.9653587951527,-2.70707482074924,0.424249866765755,-6.38085013764759,1.76107582519375e-10,1.41213522291386e-09
"Chit1",17.120814869508,-2.05124032697851,0.499563058380646,-4.10606887872712,4.02449521511773e-05,0.000156526836556306
"Crb1",1.67815949953569,4.38196501365592,1.57168595152173,2.78806654052818,0.00530236516781966,0.0132735549387257
"Cacna1e",6.28198823775085,2.22954655430294,0.750914633234296,2.96910787941362,0.00298665723235536,0.00792405543775826
"Tnn",3.89660139538809,2.25264806891671,0.895163791530821,2.51646468526665,0.0118538778954394,0.0271171451765124
"Dpt",20.886696511835,-2.55856333828184,0.432554614372952,-5.91500645991452,3.3186255784134e-09,2.30465902796258e-08
"Rgs4",17.31783442298,-2.07735656632255,0.55223303411415,-3.7617390449213,0.000168736047358834,0.000587750601527097
"Tstd1",31.474744609674,2.35710499668878,0.366075048138881,6.43885730172614,1.20376304442803e-10,9.86271287698424e-10
"Itln1",3.19761508864567,4.65281168833223,1.41658499609851,3.28452701471976,0.00102153704400312,0.00302999437594683
"Atp1a4",35.1951047862197,3.707679526936,0.398975394854453,9.2930029639762,1.49995448418155e-20,2.83340761055704e-19
"Kcnj9",8.15720229973086,4.17103898862514,0.880657982072672,4.73627568651384,2.17681427446927e-06,1.02882259253919e-05
"Mnda",7.6716109185113,-2.43389287961212,0.718350201433596,-3.38817038647006,0.000703605407519795,0.00216092534485973
"Ifi205",5.69553329944205,-2.31279356158956,0.873490580188592,-2.64776016369886,0.00810269867548758,0.0194019251464377
"Lefty2",4357.36916174804,-2.10786422153888,0.0880403171732316,-23.9420334821303,1.11859576050921e-126,3.35218502399378e-124
"Spata45",26.3281889267712,4.86324166273517,0.600696942423619,8.0959986963036,5.67964316950641e-16,7.47185795238414e-15
"Lamb3",35.7467196851927,-2.50919077336007,0.358747405953808,-6.99431056982515,2.66566478279718e-12,2.57128308917823e-11
"Camk1g",6.05925914691136,3.39094379908643,1.37823386561366,2.46035443163096,0.0138799866039968,0.031250737698366
"A330023F24Rik",10.9329880989325,2.17479523227451,0.566071191131809,3.84191117008834,0.00012208002088856,0.000436324408597257
"Ppp1r14c",38.581398497133,2.11674473040765,0.318189498549534,6.65246571636344,2.88222972277809e-11,2.51782133045649e-10
"Plagl1",282.15655057541,-2.07486900422257,0.142889679951541,-14.5207757825913,8.94916585134431e-48,5.86037783028217e-46
"Il22ra2",2.31840395277776,-5.28107633022994,1.42635286094733,-3.70250340909504,0.000213482491086155,0.000727981470567851
"Il20ra",1.73617367486043,4.34102854456098,1.61879797131056,2.68163700566448,0.0073262908020349,0.0177228277015705
"Slc35d3",57.8061433857811,4.60348585125551,0.438478128330382,10.4987810196701,8.75027537411627e-26,2.28528240605243e-24
"C920009B18Rik",3.7229384213476,-2.06874704268699,0.858327083778315,-2.41020827815483,0.0159434158999414,0.0353296824823742
"Themis",10.4847897580013,2.84691784745633,0.822803087282331,3.46002329288716,0.00054012866328587,0.00169717698517104
"Soga3",125.686640182863,2.70886508297659,0.217549054860324,12.4517437444892,1.36822765500649e-35,5.59991508522446e-34
"9330159F19Rik",34.7271918306565,3.08424833044081,0.520774475869866,5.92242606607993,3.17226439582415e-09,2.2123783122658e-08
"Rnf217",82.1730040470109,-2.02076568917488,0.235595008272595,-8.57728567337364,9.71381525565145e-18,1.46669485512531e-16
"Hs3st5",2.67636245226848,4.19306889472644,1.43969305833007,2.91247420445999,0.00358577815713822,0.00934829601833691
"AI317395",8.00007617241207,-2.05476986520713,0.71532483528706,-2.87249898765579,0.00407239383772386,0.01048703691302
"Grik2",3.38011100933561,3.6927704108873,1.48212556805591,2.49153681069753,0.0127191786436831,0.0289021716487548
"Fabp7",27.3261737324532,2.6200956467614,1.15405659731496,2.27033548688802,0.0231872354889769,0.0489930103585804
"Chst3",20.5232920884003,-2.26975007060325,0.489625687723859,-4.63568421247406,3.55758735845922e-06,1.63338618761146e-05
"Neurog3",8.37075444151907,3.59965094249126,0.994569240403279,3.61930652614158,0.000295393568925405,0.000977652030321824
"Tacr2",1.71048435767757,4.46050362461047,1.55220028579131,2.87366499377785,0.00405739086125004,0.010457540498216
"Egr2",23.4195782004422,-2.15660719880977,0.424808208053995,-5.07666085052588,3.84125624461578e-07,2.01954361168753e-06
"Aire",342.800117231874,-2.33369467297038,0.119615201073838,-19.5100175564626,9.0251114845993e-85,1.64508243463093e-82
"Prtn3",3.73124168986708,-2.4343348921597,1.07127872522228,-2.27236370409075,0.0230645520551865,0.0488037751182087
"Diras1",21.998025584468,2.37056036400677,0.457200727366717,5.18494442837,2.160792852777e-07,1.17771203544852e-06
"Atcay",52.3006304672617,2.51544660388667,0.29283942077981,8.58984967661874,8.70831836626854e-18,1.32278158963912e-16
"Zfr2",6.54510081698236,-2.03496562815355,0.719498961874866,-2.8283093318868,0.00467945666505636,0.0118671074720111
"Ascl1",6.79551009855402,5.37514959218891,1.31726697856266,4.08053164594926,4.49328111042348e-05,0.000173273071566843
"Ntn4",29.4946046105612,-2.33726658363563,0.355390755062259,-6.57661053458236,4.81293244904462e-11,4.10900331393326e-10
"Lum",48.1913970646504,-2.03995931905754,0.264311498175694,-7.71801201664532,1.18158063757981e-14,1.40305757240084e-13
"Lyz2",16.2108549588291,-2.30195801848005,0.991132737180836,-2.32255270371526,0.0202031940202705,0.0434902267570164
"Ndufa4l2",278.069072591587,-5.43495989428707,0.205428555173947,-26.4566914258099,3.05603909721407e-154,1.4219428231011e-151
"Mettl7b",7.69181045581978,-2.74208242905546,0.754352090421582,-3.63501667705727,0.000277962653994442,0.000925024973701435
"Cabp7",10.4227856622312,2.18840589878798,0.731978125412645,2.98971488738723,0.00279237956598272,0.00745576307854734
"Bcl11a",60.3485681324247,3.3575169230572,0.338028784512037,9.93263614488915,3.00211859095283e-23,6.71055105014374e-22
"Efemp1",128.766468631343,-2.82358402801632,0.189372314593254,-14.9102261018513,2.82793332102636e-50,2.02431939469907e-48
"Kcnmb1",14.3417409727617,-3.03435496055694,0.942419012740228,-3.21975142642133,0.0012830179534917,0.00371277257539882
"Fam196b",15.3823417318978,2.28516097680924,0.546236635781109,4.18346340600443,2.87101322079195e-05,0.000114124066449691
"Gabra1",6.51921319488088,2.69449339796513,0.912433777661973,2.9530837896746,0.00314616553276975,0.00829763615526581
"BC053393",5.36992536971562,-3.35737887674984,0.876568466189754,-3.83013878122221,0.000128071007923318,0.000456169115852574
"Dppa1",15.9592712751936,-2.15895471284679,0.418759861286302,-5.15559133632136,2.52831763919663e-07,1.36539963893206e-06
"Sgcd",7.81209349752717,-2.61274530348507,0.695735167530924,-3.75537334523044,0.000173083273216275,0.000601371700612909
"Grm6",48.4852805303074,4.43368887879877,0.407291273295374,10.8857939501773,1.34719522175488e-27,3.89848751486876e-26
"Obscn",14.4905608687305,2.84967281037939,0.646221827808717,4.40974397296728,1.03492903196857e-05,4.43172201846363e-05
"Tnfrsf13b",2.32882832752662,-3.0861358326276,1.31124863077771,-2.35358555211394,0.0185933287295308,0.0404315146066699
"Aldh3a1",16.7234876945061,2.17377767226452,0.536371836870685,4.05274386691671,5.06204132925695e-05,0.000193225286577271
"Slc47a1",70.1992764756322,2.03429855891497,0.22327575443168,9.1111485171913,8.15144064614031e-20,1.45141613357912e-18
"Rnf112",11.6422399316987,2.90570094587311,0.646661994558534,4.49338444245017,7.01000678328252e-06,3.08779097995063e-05
"Slc5a10",6.137770434082,2.31438485582112,0.762617825005232,3.03478987762349,0.00240703319624007,0.00653287287710694
"Hs3st3a1",13.3662133918171,-2.38717493366095,0.586292770637777,-4.07164313328331,4.6682662476925e-05,0.000179551045302265
"Alox12",32.6333224129607,-2.11956242331337,0.310792889404641,-6.81985494382973,9.11324817988176e-12,8.34013152528413e-11
"Slc13a5",86.4369310691145,-2.09454613946971,0.19910891606707,-10.5195999297398,7.01709005532462e-26,1.83806176693622e-24
"Xaf1",239.392294374089,-2.35676706576756,0.129315528105286,-18.2249347800577,3.27265829347494e-74,4.45106702207157e-72
"Smtnl2",752.551711673119,-2.28043337212124,0.07850969998639,-29.0465174687531,1.70281363269216e-185,1.11509066072704e-182
"Aldoc",311.234532186779,-3.07332219764953,0.130910324123271,-23.4765456294766,7.08290790932711e-122,2.05299827450513e-119
"Ccl2",59.4363677676829,-3.84990881246865,0.32422490432462,-11.8741921459989,1.61183604823594e-32,5.75734811492116e-31
"Ccl7",29.5374426477003,-3.42881919312603,0.406663226646359,-8.43159392945994,3.40988432742889e-17,4.96215348092759e-16
"Ccl8",8.53140596113727,-2.63405196233676,0.72225091733702,-3.64700396926965,0.00026531582728812,0.000886868810458532
"Lhx1",16.5402693659074,4.26587512545262,1.09381552013165,3.8999950603546,9.619465062928e-05,0.000350173321806955
"Dgkeos",18.2644254081291,2.0792710240886,0.511207278038023,4.06737367290367,4.75459684266102e-05,0.000182593455202193
"B130006D01Rik",4.02675146066453,5.73614704420784,1.37017788061035,4.18642508055426,2.83382411650935e-05,0.000112848748207211
"Calcoco2",3856.95480659899,-2.01207471560414,0.121661275084443,-16.5383332881198,1.94324872404449e-61,1.91947378155479e-59
"Gm11538",2.98792695058947,-3.75828532461848,1.45080528936599,-2.59048223229243,0.00958415689269807,0.0224953508588603
"Krt19",1823.52746121118,-2.1210421352937,0.0664005078396071,-31.9431613447468,6.72314037452299e-224,8.49084606871007e-221
"Krt9",12.5105404675943,2.73726069251921,0.515769655390183,5.30713791304464,1.11359922602331e-07,6.29863976817597e-07
"Ptrf",2066.14012995023,-2.42663090727875,0.0783641133977441,-30.966099175552,1.54264104613299e-210,1.5153020187043e-207
"Aoc3",43.5526245425053,-2.75567009332297,0.338726130199335,-8.13539271889446,4.10605106090459e-16,5.47917651380031e-15
"Icam2",12.0541087848388,2.30944999456019,0.604041859627317,3.82332773424855,0.000131662588705483,0.00046764287482958
"Kcnj2",10.1376072208612,2.45749855058156,0.809356128266555,3.03636244263069,0.00239451339475668,0.00650743795461002
"Socs3",1002.96868910359,-3.12779471742643,0.0948476656093677,-32.9770342509886,1.73383886697357e-238,2.78690954608724e-235
"Nptx1",28.0120695403266,2.1133372951186,0.637046180453839,3.3174004647717,0.000908592830791102,0.00272747535504541
"Cd7",6.06967265928612,4.06576148898836,0.999455693369629,4.0679757151423,4.74233223159151e-05,0.00018224120014512
"Dnmt3a",7437.47107693485,2.57321285134886,0.0564453524644425,45.5876832901317,0,0
"Apob",18.7416640134452,2.3539816848088,0.395627400191822,5.94999659696841,2.6814806395148e-09,1.88964763600084e-08
"Rsad2",21.6235756667385,2.54232938872802,0.402986008162982,6.30872868345298,2.81336806595293e-10,2.21573099216542e-09
"Dgkb",12.368633961147,3.50052405362631,0.630437968310935,5.55252733747127,2.81568665162438e-08,1.73102071235642e-07
"Egln3",540.095481083823,-3.28290929777078,0.115172012790494,-28.5044015314956,1.03315409074016e-178,6.52399909942024e-176
"Pygl",192.227371947175,-2.32810060130028,0.146842833094816,-15.85436995619,1.31136135956694e-56,1.14217636445828e-54
"Slc10a1",7.78948568842404,2.69957830941506,0.729472568083293,3.70072628845834,0.000214983269308033,0.000732392906480796
"Adam4",7.62674306010582,2.27152030543297,0.672589664968209,3.37727506642603,0.000732078012568524,0.0022394241073052
"Vrtn",159.10469487768,3.55609704000665,0.227720677489308,15.6160480427765,5.66072476373852e-55,4.67697544615238e-53
"Fos",741.704769276516,-4.41971355890066,0.119838917540196,-36.8804529414929,9.50907149951285e-298,1.8681099242543e-294
"Gm805",6.83917113654913,2.13451730396591,0.698603437193127,3.05540624383706,0.00224755861216635,0.00615537233917491
"Ngb",6.91104637137856,2.76589276583571,0.782703946429823,3.53376621959283,0.000409683273040602,0.00131630200811028
"Gm16381",3.93070483598147,2.35812291867833,0.98941586538772,2.38334860110037,0.0171559397120968,0.0376672258847116
"Kcnk10",2.31650452708388,-3.697665665327,1.45438227487147,-2.54243037007157,0.0110084532710774,0.025443197684434
"Serpina3g",6.16259984258239,-6.08205027345338,1.29254361148506,-4.70548940817976,2.53257654787564e-06,1.18336379341938e-05
"Serpina3h",3.55619590331624,-3.92619254281499,1.38196540418195,-2.84102086125598,0.00449693705989186,0.0114551713234329
"Serpina3i",3.46387667372418,-3.5105416514064,1.20777591904359,-2.90661669607249,0.00365360591767923,0.00950690305084422
"Scarna13",3.35987511301338,3.36609135315733,1.25076383915501,2.69122854993266,0.00711894060702706,0.0172684852343045
"DQ267102",3.18978813047733,2.68153356003324,0.993515313753317,2.69903596141151,0.00695406614149697,0.0169219437720627
"Amn",164.855655868232,2.65863562168572,0.165570409924759,16.0574321395587,5.07114852453544e-58,4.52843318496521e-56
"Tmem179",54.7381559958585,2.84470911586574,0.281384989039112,10.1096690537047,5.00530671949859e-24,1.17933298617113e-22
"Abcb5",8.30481998718442,2.74566480602202,0.746329889646931,3.67888897940416,0.000234252205948129,0.000792571587186156
"Pfkp",2667.44001436607,-2.43777770263233,0.0547852606729835,-44.4969627357177,0,0
"Hecw1",6.58163591557,2.5240926920555,0.930951784518724,2.71130335000151,0.00670192815183486,0.0163714826820382
"Inhba",64.1212691762628,-2.71600971816973,0.273493769998987,-9.93079190864123,3.05817021379482e-23,6.82721054925584e-22
"Pou6f2",1.98108631542927,-3.88374466165997,1.50939285177839,-2.5730509171844,0.0100806376055082,0.0235294724096356
"Gpx6",39.237484964694,3.09418543858171,0.323983206264604,9.55045008121385,1.29134042684465e-21,2.60047723087018e-20
"Btn1a1",6.02577100402387,-3.64188468793717,0.884714831133356,-4.11645036318852,3.84752143852257e-05,0.000150139100760357
"Serpinb9d",15.8994067314159,2.65768784973679,0.489763609748006,5.42647064183521,5.747927430279e-08,3.38208378677543e-07
"Serpinb9e",20.0157281583237,2.95482914653014,0.424997459986296,6.95258072042458,3.58663483133457e-12,3.42970743390084e-11
"Serpinb9f",16.3395884411872,3.55433843310074,0.507540002029183,7.00307053412584,2.50412680335471e-12,2.42074718480671e-11
"Serpinb9g",14.0664041161822,4.30500037995392,0.631937121146194,6.81238723901137,9.5992292744695e-12,8.74865839185027e-11
"Ppp1r3g",16.7143341196092,-2.62385729397534,0.484017968441907,-5.42099150248852,5.9269377758103e-08,3.47691396198082e-07
"Rbm24",15.9050688445596,3.72075100581631,1.10777948240327,3.35874699334956,0.000782967164038866,0.00237985945115544
"Susd3",8.07343638420333,3.45344215231158,0.71483933560895,4.83107459296389,1.35798111785276e-06,6.60717230180371e-06
"Aspn",8.805563239685,-2.027602516872,0.56496456305363,-3.58890211788297,0.000332073482753456,0.00108838981786124
"Shc3",7.74077481718031,2.05342030018683,0.74220642081508,2.7666431367325,0.00566367155587383,0.0140882634748741
"4921525O09Rik",10.1024260099596,2.60289740731533,0.6991636993261,3.72287264030466,0.000196968892091821,0.000675709542311891
"Sncb",22.3169227321531,-2.45222053641959,0.380990744359094,-6.43643073415009,1.22315613773458e-10,1.00076925827326e-09
"Rgs14",16.1592515299238,2.10301864319071,0.558973008449769,3.76229014889848,0.000168364561545176,0.000586572179838475
"Kif27",15.2841753018288,2.05026371269944,0.581615109814543,3.52512112925195,0.000423289191071305,0.00135460202485642
"Slc28a3",14.0844857082873,-2.90085984968969,0.502745155037753,-5.77004038849834,7.92525354985666e-09,5.22529298934721e-08
"Fbp1",48.6436270746985,2.64384511691732,0.281471954127076,9.39292557625016,5.83563737627576e-21,1.1338451038454e-19
