"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sox17",151.363169756147,-2.49808703099605,0.297195466264585,-8.40553546254999,4.25913829517211e-17,4.05524093683027e-16
"Oprk1",3.24210534419947,5.48708267915321,2.40736587272995,2.27928905253229,0.0226498883704929,0.0430153250567867
"Adhfe1",23.0201331773339,-2.39292088072251,0.554092694838896,-4.31862918066129,1.57001316660223e-05,5.18389447944864e-05
"Xkr9",4.12450698548083,-4.3091855376914,1.43702347472273,-2.99868833981495,0.00271144512251904,0.00631135613629003
"Eya1",52.5804438257258,-2.41145691817615,0.418202027899999,-5.76624874414234,8.10554013755436e-09,3.93395704562445e-08
"Pi15",24.9967834392227,4.92514549591983,0.846939440100683,5.81522746813436,6.05514897684677e-09,2.97307391494246e-08
"Tfap2b",8.28615753449039,6.16002454360846,1.91570810453133,3.21553399969328,0.00130202070349365,0.00320537845425664
"Gsta3",66.4338303339804,4.53162115161358,0.491040381142571,9.22861199535004,2.74161396457081e-20,3.19120977666731e-19
"Ptp4a1",95.3873109406088,2.99090826921227,0.374788833203139,7.98024915430489,1.46038201308723e-15,1.2583340337912e-14
"Ptpn18",29.1003666442401,2.51560248366852,0.564111753216781,4.45940448736193,8.21876880997721e-06,2.82331554943087e-05
"Cfc1",13.3301407677641,6.37104034811668,1.48457172875868,4.29150052146271,1.77469786176421e-05,5.8129738595504e-05
"Zap70",61.7407500165324,-2.60955741956308,0.372195593458826,-7.01125286119691,2.36193412828071e-12,1.59577215598515e-11
"Chst10",93.2108685132049,2.88267776010836,0.360780552329449,7.99011404992811,1.34813976419811e-15,1.16616727841423e-14
"Il1rl1",96.055982426093,-9.85667990629908,0.828278277570261,-11.9002033171913,1.18059170503251e-32,2.61579472890724e-31
"Fhl2",157.981880207143,-2.64001480325135,0.228489502748342,-11.5542060860409,7.02940843220948e-31,1.44017347033483e-29
"Col3a1",2339.29120329881,-2.46862721951667,0.235268367874015,-10.4928139801548,9.32102540498054e-26,1.49686694083071e-24
"Slc40a1",337.271389535816,3.25449939381328,0.22773236720655,14.2908952018292,2.49382966201211e-46,8.5784829288008e-45
"Tmeff2",17.8801769768761,3.98478522530456,0.852875763144328,4.67217547678188,2.98026169958197e-06,1.08446196975322e-05
"Sdpr",7.90515354540461,-5.80700073225765,1.04957813681261,-5.53269978535615,3.15338941743473e-08,1.4366162919264e-07
"Gls",1230.04967568819,-2.03616761329276,0.120368126635177,-16.9161693399463,3.41961348604302e-64,1.83775641479412e-62
"Dnah7a",20.98350586101,2.52089665568532,0.751181954371911,3.3559068359052,0.000791052118509106,0.00201101258193523
"Pgap1",693.143215449815,2.29967988027211,0.151140320598178,15.2155286634997,2.78956858180167e-52,1.12608132636611e-50
"Ankrd44",86.9561050900755,-3.59210141664458,0.315268082366515,-11.3937998089784,4.48974095424479e-30,8.88948598118725e-29
"Satb2",135.168221776179,-4.22552527135721,0.260617878957871,-16.2134896049871,4.04909913361506e-59,1.92451940272709e-57
"9130024F11Rik",18.5005851233568,-3.58137616552847,0.636911379511445,-5.62303686311215,1.8762934277781e-08,8.75323063233366e-08
"Cdk15",2.06216017158131,-4.88068677523267,2.06979780762461,-2.35805002655499,0.0183712170141639,0.0357300063829536
"Pard3b",13.9247420954048,2.96658121609076,1.00563303701078,2.94996395992405,0.00317810999677445,0.00729768348739858
"Nrp2",1365.03658397812,-2.42213938941534,0.121818399878143,-19.8831982018992,5.68893318020465e-88,4.95497672705411e-86
"Akr1cl",19.7064844852254,-2.08086864198746,0.684442691365337,-3.04023794576068,0.00236391307259952,0.00556024305396197
"Crygd",14.6675591632564,-3.33605227778197,0.942057742414554,-3.54123970069123,0.000398251597872374,0.00106673026844137
"Map2",76.9999499970935,2.00746212168826,0.369807668003732,5.42839506959061,5.68630605975446e-08,2.52168491202705e-07
"Unc80",4.80857020272043,4.9713832646487,1.68517561325798,2.95006836411395,0.00317703622144836,0.00729679836325459
"Abca12",2.99388128017589,6.51958616360575,2.36598910762258,2.75554360863345,0.00585946930114536,0.0127352522081808
"Tns1",432.29267110797,-2.03052625727045,0.19833033627687,-10.2381022257524,1.33835766677765e-24,2.05234188259286e-23
"Cxcr2",5.22821128206292,4.42362100574843,1.50261003900067,2.94395810684882,0.00324043859218066,0.00742537516178671
"Gpbar1",1.5733506467505,7.88341424153959,2.96823730479967,2.65592452085688,0.00790913146991605,0.0167394485898475
"Catip",40.0287550255615,4.62824669433294,0.582689505888055,7.94290380651218,1.97502110627694e-15,1.68047873821379e-14
"Ttll4",613.363587198794,2.54466030555299,0.173354175642691,14.6789674729146,8.79190282299795e-49,3.27952813952377e-47
"Wnt6",75.8011006440836,-3.68512483165978,0.358711150142763,-10.2732374786598,9.30292707744394e-25,1.43404580345498e-23
"Wnt10a",6.67236183690129,-3.15080399971169,1.22739351878276,-2.56706911963853,0.0102562166170508,0.0211821242852559
"Des",426.591400366123,-2.67696073170275,0.17089078333812,-15.6647460993035,2.63479751584242e-55,1.15885211138333e-53
"Inha",11.6798486056047,-2.45580239300585,0.994110583544617,-2.47035132072471,0.0134980416025058,0.0271419167035033
"Ap1s3",118.411171753059,2.30148313620187,0.307616251429584,7.48166953308283,7.33842913052622e-14,5.57588162685149e-13
"Irs1",86.0340819766959,2.07733483637181,0.453130601052128,4.58440641958065,4.55277930407996e-06,1.62130293807528e-05
"Slc19a3",27.7825241591891,-2.10741555026815,0.567198191586624,-3.71548354971491,0.000202815460752542,0.000570017510978491
"Slc16a14",15.6149330760954,-3.95339658886027,0.654640211324366,-6.0390372000864,1.55036503107863e-09,8.10526437448293e-09
"A630001G21Rik",15.6382550475066,2.67140348150086,0.910667690558454,2.93345586891598,0.00335211304967257,0.00765646697213032
"2810459M11Rik",36.359090195654,3.65098798765069,0.572413931358012,6.37823048609068,1.79145766176648e-10,1.02940405972353e-09
"Htr2b",8.15813839001624,4.47036354044445,1.56221558317822,2.86155354522185,0.00421570286278091,0.00943158829771344
"Alppl2",29.0459067304533,-3.3108680470281,0.55611374594321,-5.95358066794883,2.62338455636509e-09,1.34057969697594e-08
"Ngef",13.9728701568929,2.08389047468144,0.830333456028908,2.50970313137531,0.0120832696857228,0.0245539927954563
"Sag",3.3103677645206,7.15562846092169,2.67076744681853,2.67924055665933,0.00737893612684017,0.0157018858657674
"2410088K16Rik",53.2592219447791,4.02972630197691,0.478757689669428,8.41704768180194,3.86090562907187e-17,3.68400822599135e-16
"Iqca",5.91688381049196,2.95397448346375,1.18201780604662,2.49909474151122,0.0124511018707436,0.0252434276088312
"Ackr3",102.709455902817,-2.03190391174931,0.316680202373103,-6.41626440971953,1.39658801220295e-10,8.10140178601062e-10
"Rab17",12.5937425823026,-2.23519759961714,0.839722818786161,-2.66182786701947,0.00777176109167566,0.0164664479163472
