"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pi15",24.9967834392227,2.41867366438005,0.522802383738345,4.62636311465359,3.72142624562775e-06,2.57840590182979e-05
"Snord89",5.45644031658274,5.46490255272849,1.61928114505668,3.37489420500674,0.000738440726540701,0.00300764816321234
"Sdpr",7.90515354540461,-5.48504338077914,1.21752625942636,-4.50507193443486,6.63504624538894e-06,4.37047611381054e-05
"Myl1",3.54872441546737,-2.24664930670668,0.911858760884565,-2.46381282176559,0.0137467879359671,0.0372255821413165
"Catip",40.0287550255615,3.72900666078658,0.643884761032786,5.79141934467479,6.97940739211671e-09,7.67508649575089e-08
"Wnt6",75.8011006440836,-2.61612801709158,0.218137438712223,-11.9930261973182,3.86521408318909e-33,3.12309297921678e-31
"Wnt10a",6.67236183690129,-2.64524353775365,0.768234028050329,-3.44327827350594,0.000574707634503084,0.00240543639423985
"Dock10",11.070293831163,2.02116411776377,0.809385149678994,2.49715987322645,0.0125192500183182,0.0344624650082452
"Sp100",3.29904224302709,-2.50081235295645,0.951609709457865,-2.62798112303958,0.00858932820075621,0.0250849777814856
"Htr2b",8.15813839001624,3.99948133054317,1.15334891928294,3.46771151702273,0.000524910462383764,0.00221967495139399
"Prss56",13.9004673522942,-2.28253414213721,0.516446578920539,-4.4196907004556,9.88422659173086e-06,6.2394180360301e-05
"2410088K16Rik",53.2592219447791,2.77581218388591,0.411760775555092,6.74132250733173,1.56951386985371e-11,2.47274942838233e-10
"Sned1",81.2003778425016,2.01555056683687,0.364137649689849,5.53513367418502,3.10991077510637e-08,3.09677030704254e-07
"Serpinb2",15.1989860629122,-2.40781419136276,0.540467057497482,-4.45506189130497,8.38689965523757e-06,5.40276816059495e-05
"Htr5b",4.00985206820813,-2.42456794950427,0.833813501416959,-2.90780605661101,0.00363973989865814,0.0120107169584658
"Mr1",4.04637189049987,-2.05034055283286,0.853818112989346,-2.40137860937888,0.016333427286498,0.0429416786794698
"Atp1a2",78.0530193085726,-2.76659758755097,0.209514854417642,-13.2047801347588,8.23397760544223e-40,8.95603410315024e-38
"Ifi202b",10.8888793746226,3.68055621447342,0.845826629133127,4.35143099980851,1.35251886702263e-05,8.30301741520985e-05
"Spta1",800.27793712147,3.47416816013525,0.182636635912664,19.0222960622017,1.11492353575675e-80,4.61415184261477e-78
"Mixl1",8.96613979972615,-2.0665783575612,0.5913818742622,-3.49449052719013,0.000474967464521149,0.00203464982024611
"Slc30a10",18.7935338320648,-2.4270147319731,0.476980958860615,-5.08828431594128,3.61317401156796e-07,3.02458493479453e-06
"1700007P06Rik",2.00999384015616,4.30232011415017,1.81862663293016,2.36569729940571,0.0179961515518847,0.0466054181215476
"Spata45",26.3281889267712,4.29131362123937,1.07474760188321,3.99285712638019,6.52819062393504e-05,0.000345617280832854
"Atf3",173.455227450766,-2.07645827789004,0.152786284159851,-13.5906065738045,4.55291421284537e-42,5.51813202596859e-40
"Lamb3",35.7467196851927,-2.12860642052384,0.320835618804905,-6.63457015294245,3.25449538747257e-11,4.97050204632174e-10
"A330023F24Rik",10.9329880989325,2.27680939561023,0.74840548528776,3.04221366674618,0.00234845128825457,0.00821618999156774
"Slc35d3",57.8061433857811,3.22793068475313,0.561609606280005,5.74764150872406,9.04968540406694e-09,9.76192383574112e-08
"4930444G20Rik",7.04459512751685,2.80181959498776,1.04022482521139,2.69347503259057,0.0070711441323019,0.0212773849329489
"Samd3",7.78959977529882,-2.31975896568351,0.619101782136072,-3.74697510590214,0.000178979840612005,0.000846413025502925
"9330159F19Rik",34.7271918306565,2.08223259304323,0.376902265180144,5.52459559256831,3.30245393572428e-08,3.27313308302392e-07
